Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature,,,,,
1766481258,1.578947368,0,0,1.512,0,1.51,0,0,0,1097,122,48.9,207,0,0,0,0,0,65.76027756,62,25,,,2,1.011774892,1.93786457
1766481259,1.736842105,0,0,1.726,0,3.24,0,0,0,938,130,38.2,207,0,0,0,0,0,47.95259973,63,25,,,3,,
1766481260,2.092105263,0,0,1.903,0,5.14,0,0,0,528,164,19,207,0,0,0,0,0,27.29022435,62,25,,,4,,
1766481261,2.460526316,0.828947368,0.013157895,2.454,0,7.59,0,0,0,295,168,6.1,206.8,0,0,0,0,0,6.960053855,62,24,,,5,,
1766481262,2.736842105,0.868421053,0.013157895,2.603,0,10.2,0,0,0,282,170,6.4,206.8,0,0,0,0,0,6.966289689,63,24,,,6,,
1766481263,2.855263158,0.868421053,0.039473684,2.715,0,12.91,0,0,0,271,172,6.5,206.8,0,0,0,0,0,6.863128108,65,24,,,7,,
1766481264,3,0.947368421,0.078947368,2.715,0,15.63,0,10,0.131578947,265,172,6.5,206.8,0,0,0,0,0,6.863128108,66,24,,,8,,
1766481265,3,0.947368421,0.078947368,2.846,0,18.47,0,10,0.131578947,264,172,6.6,206.8,0,0,0,0,0,6.647931587,68,24,,,9,,
1766481266,3.302631579,0.947368421,0.118421053,2.837,0,21.31,0,10,0.131578947,265,172,6.6,206.8,0,0,0,0,0,6.669024403,69,24,,,10,,
1766481267,3.434210526,0.960526316,0.131578947,2.827,0,24.14,0,10.875,0.143092105,270,172,6.5,206.8,0,0,0,0,0,6.59122252,71,24,,,11,,
1766481268,3.5,0.973684211,0.131578947,2.79,0,26.93,0,11.125,0.146381579,272,170,6.6,207,0,0,0,0,0,6.702480933,72,24,,,12,,
1766481269,3.460526316,0.973684211,0.131578947,2.753,0,29.68,0,11.125,0.146381579,273,172,6.4,207,0,0,0,0,0,6.664236997,73,24,,,13,,
1766481270,3.486842105,0.973684211,0.157894737,2.734,0,32.41,0,10.875,0.143092105,274,170,6.4,207.2,0,0,0,0,0,6.632536738,75,24,,,14,,
1766481271,3.486842105,0.973684211,0.157894737,2.715,0,35.13,0,10.875,0.143092105,275,170,6.5,207.39999,0,0,0,0,0,6.783269327,76,24,,,15,,
